127.0.0.1 - - [04/Dec/2023:23:20:07 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:08 +0700] "GET /adv/user/profiles HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:08 +0700] "GET /adv/user/login HTTP/1.1" 200 2513
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:08 +0700] "GET /adv/css/all.min.css HTTP/1.1" 200 101784
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:08 +0700] "GET /adv/css/bootstrap.min.css HTTP/1.1" 200 232914
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:08 +0700] "GET /adv/js/bootstrap.bundle.min.js HTTP/1.1" 200 80496
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:08 +0700] "GET /adv/js/loginv3.js HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:08 +0700] "GET /adv/css/login3.css HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:08 +0700] "GET /adv/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 150472
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:08 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:11 +0700] "POST /adv/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:11 +0700] "GET /adv/view HTTP/1.1" 200 12680
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:11 +0700] "GET /adv/css/bi/bootstrap-icons.css HTTP/1.1" 200 93734
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:11 +0700] "GET /adv/js/apexcharts.min.js HTTP/1.1" 200 512609
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:11 +0700] "GET /adv/img/logo.png HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:11 +0700] "GET /adv/img/messages-1.jpg HTTP/1.1" 200 6459
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:11 +0700] "GET /adv/img/messages-2.jpg HTTP/1.1" 200 5484
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:11 +0700] "GET /adv/css/style.css HTTP/1.1" 200 20977
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:11 +0700] "GET /adv/img/messages-3.jpg HTTP/1.1" 200 21803
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:11 +0700] "GET /adv/js/main.js HTTP/1.1" 200 3961
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:11 +0700] "GET /adv/img/profile-img.jpg HTTP/1.1" 200 4957
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:11 +0700] "GET /adv/css/bi/fonts/bootstrap-icons.woff2?1fa40e8900654d2863d011707b9fb6f2 HTTP/1.1" 200 121340
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:11 +0700] "GET /adv/img/favicon.png HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:16 +0700] "GET /adv/user/list HTTP/1.1" 200 21047
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:22 +0700] "GET /adv/user/list?p=2 HTTP/1.1" 200 21091
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:23 +0700] "GET /adv/user/list?p=3 HTTP/1.1" 200 21210
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:26 +0700] "GET /adv/user/list?p=4 HTTP/1.1" 200 21362
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:29 +0700] "GET /adv/user/profiles?id=44&t=over HTTP/1.1" 200 21921
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:40 +0700] "GET /adv/user/list HTTP/1.1" 200 21047
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:46 +0700] "GET /adv/user/list?trash HTTP/1.1" 200 17431
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:20:59 +0700] "GET /adv/user/list HTTP/1.1" 200 21047
0:0:0:0:0:0:0:1 - - [04/Dec/2023:23:21:07 +0700] "GET /adv/section/list HTTP/1.1" 200 15749
